	src	mt	score
10	The 2024 Supercars Championship (known for commercial reasons as the 2024 Repco Supercars Championship) is an upcoming motor racing series for Supercars.	Die 2024 Repco Supercars Championship (auch bekannt als 2024 Repco Supercars Championship) ist eine neue Motorsportserie für Supercars.	-11.0
11	Humanization practices can lead to dilemmas, such as cosmetic surgeries for pets or extreme grooming practices.	Humanisierungspraktiken können zu Dilemmata führen, wie kosmetische Operationen für Haustiere oder extreme Pflegepraktiken.	0.0
12	Sasha Johnson, a Black Lives Matter activist who survived being shot in the head in Peckham, London in May 2021	Sasha Johnson, eine Aktivistin für Black Lives Matter, die im Mai 2021 in Peckham, London, bei einem Schuss ins Kopf überlebte	-15.0
13	Bob Koch is an American politician from Oregon who served as a member of the Portland City Commission for one term from 1987 to 1990.	Bob Koch ist ein US-amerikanischer Politiker aus Oregon, der von 1987 bis 1990 Mitglied der Portland City Commission war.	-1.0
14	He would continuously campaign to be awarded the Victoria Cross for his actions during the battle, but no such award would be made.	Er gewann das Victoria-Kreuz für seine Aktionen während der Schlacht, wurde aber nicht verliehen.	-20.0
15	The Territory's residents, the Muzul Maya, are thought to have been members of a single ch'ibal, 'patronymic lineage,' that is, 'a highly localised group named after their dominant political family.'	"Die Bewohner des Territoriums, die Muzul Maya, gelten als Mitglieder einer einzigen Ch'ibal, einer ""patronymischen Linie"", d.h. einer ""sehr lokalisierten Gruppe, die nach ihrer dominanten politischen Familie benannt wurde""."	0.0
16	Some people have tried pouring hot coffee over it to make it look like an affogato, but according to reports, this did not work as the coffee froze on top instead of melting the ice cream.	Einige Menschen haben versucht, heißes Kaffee über es zu werfen, um es wie ein Affogato zu erscheinen, aber nach Berichten funktionierte dies nicht, als der Kaffee auf der Spitze gefroren wurde, anstatt den Eis zu vermischen.	-25.0
17	The 2023 Nürburgring Langstrecken Series is the 46th season of the German endurance series (formerly VLN) run at the Nürburgring Nordschleife, and fourth run as the Nürburgring Langstrecken Serie (NLS).	Die Nürburgring Langstrecken Serie 2023 ist die 46. Saison der Nürburgring Langstrecken Serie (ehemals VLN) auf der Nürburgring Nordschleife.	-3.0
18	Bricard began playing chess at age 12.Bricard won the 1993 French Chess Championship, and finished third in the championship of the following year, behind Marc Santo-Roman and Manuel Apicella.	Bricard begann im Alter von 12 Jahren Schach zu spielen.Bricard gewann 1993 die französische Schachmeisterschaft und beendete mit Marc Santo-Roman und Manuel Apicella den dritten Platz.	-10.0
19	Following his appointment as military governor of the Gaza district, Albuquerque captured Gungunhana with a small force.	Nach seiner Ernennung als Militärgouverneur des Gazastreifens erhielt Albuquerque Gungunhana mit einer kleinen Kraft.	-20.0
20	This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2004.	Dies ist eine Liste von Songs, die die Top 10 auf der Billboard Mainstream Top 40 (oder Pop Airplay) Chart im Jahr 2004 erreichten.	-2.0
21	The Koontz family, in search of prosperity on the open frontier, began a pioneer journey on the Oregon Trail in 1847; Nicolas perished due to drowning in the Snake River.	Die Familie Koontz, in der Suche nach Wohlstand auf der offenen Grenze, begann eine Pionierreise auf dem Oregon Trail im Jahre 1847; Nicolas starb, weil er sich im Snake River ertrunken hatte.	-4.0
22	Pulmonary Care Excellence Award 2023 - AdventHealth Dade City received the Pulmonary Care Excellence Award from Healthgrades for its excellence in COPD and pneumonia care.	Pulmonary Care Excellence Award 2023 - AdventHealth Dade City erhielt den Pulmonary Care Excellence Award von Healthgrades für seine Exzellenz in der COPD- und Pneumoniepflege.	-2.0
23	Research findings based on lesion network mapping have been reported in major news outlets including the New York Times, Scientific American and USA Today and the term has been included in the New England Journal of Medicine's general medical glossary.	Forschungsergebnisse auf der Grundlage der Verletzungsnetzkarte wurden in wichtigen Nachrichtenplätzen wie der New York Times, Scientific American und USA Today berichtet und der Begriff wurde im Allgemeinen medizinischen Glosser des New England Journal of Medicine aufgenommen.	-12.0
24	Due to the fact that the label did not notify the presence of another artist in the remix, Karol G made the decision not to publish the remix, despite not having any problem with De la Ghetto.	Da das Label nicht die Anwesenheit eines anderen Künstlers im Remix benachrichtigte, entschied sich Karol G, den Remix nicht zu veröffentlichen, obwohl es keine Probleme mit De la Ghetto gab.	-12.0
25	14 June – South African soldiers invade Botswana and attack the headquarters of a South African anti-apartheid group in Gabarone.	14. Juni - Südafrikanische Soldaten besiegen Botswana und angreifen die Hauptstadt einer südamerikanischen Anti-Apartheid-Gruppe in Gabarone.	-20.0
26	Fonseca was a guest on the Twitch channel of the radio station, COPE, in which he dedicated himself to analyzing the most recent Spanish political events.	Fonseca war Gast auf dem Twitch-Kanal des Radiosender COPE, in dem er sich der Analyse der jüngsten politischen Ereignisse in Spanien widmete.	-3.0
27	The era of predominance of conventional or romantic poems in Meitei literature took a break as Sri Biren and his contemporary poets took up their pens.	Die Ära der Vorherrschaft konventioneller oder romantischer Gedichte in Meitei-Literatur nahm eine Pause, als Sri Biren und seine zeitgenössischen Dichter ihre Pensionen nahmen.	-7.0
28	Arthur E. was also arrested at the same time.The German-Russian businessman Arthur E. is said to have helped the suspected spy Carsten Linke to bring secret documents from the Federal Intelligence Service to Moscow.	Der deutsch-russische Geschäftsmann Arthur E. wurde berichtet, dass er dem verdächtigen Spion Carsten Linke geholfen hat, geheime Dokumente von der Federal Intelligence Service nach Moskau zu bringen.	-25.0
29	In addition, at least according to the 2019 data, an investment grant could be applied for from the Ministry of Education and Culture.	Darüber hinaus könnte zumindest nach den Daten von 2019 eine Investitionshilfe vom Ministerium für Bildung und Kultur beantragt werden.	-1.0
30	38-42: Krishna concludes the chapter by encouraging Arjuna to rise above doubts and practice the teachings he has received.	38-42: Krishna schließt das Kapitel, indem er Arjuna ermutigt, sich über Zweifel zu erheben und die Lehren zu praktizieren, die er erhalten hat.	-1.0
31	This is a roster of buses currently and previously operated by Memphis Area Transit Authority in Memphis, Tennessee.	Dies ist eine Liste von Bussen, die derzeit und früher von der Memphis Area Transit Authority in Memphis, Tennessee betrieben werden.	-1.0
32	"Chris Jarvis for Left Foot Forward, however, noted that this ""thesis has been highly contentious, not least because the government of the day has shown itself to be anything but liberal on these issues""."	"Chris Jarvis für Left Foot Forward stellte jedoch fest, dass diese ""These sehr umstritten sei, nicht zuletzt weil sich die damalige Regierung in diesen Fragen alles andere als liberal gezeigt habe""."	-2.0
33	In December 2022, The Free Press published information about the Twitter Files after Twitter CEO Elon Musk provided Weiss with access to records of Twitter's internal communications.	Im Dezember 2022 veröffentlichte The Free Press Informationen über die Twitter-Dateien, nachdem Twitter-Chef Elon Musk Weiss Zugang zu Aufzeichnungen der internen Kommunikation von Twitter erteilt hatte.	-5.0
34	In the recipient male, the molecules strike the antennae, where reception of the pheromones takes place by means of olfactory cells on the olfactory hairs or sensilla.	Im Empfänger-Männchen schlagen die Moleküle die Antenne an, wo die Empfang der Pheromone durch Geruchzellen auf den Geruchhaaren oder Senzilla stattfindet.	-10.0
35	"In response, Bennett said that ""the headline of the story was wrong"", and had been corrected; she pointed out that the release agreement ""was signed October 30, five days before the new government took office."	"Als Antwort sagte Bennett, dass ""die Überschrift der Geschichte falsch war"" und korrigiert worden sei; sie wies darauf hin, dass die Freilassungsvereinbarung ""am 30. Oktober unterzeichnet worden sei, fünf Tage bevor die neue Regierung das Amt übernahm."	-6.0
36	Humanization practices can lead to dilemmas, such as cosmetic surgeries for pets or extreme grooming practices.	Humanisierungspraktiken können zu Dilemmen führen, wie kosmetische Chirurgie für Haustiere oder extreme Pflegepraktiken.	-6.0
37	Andrii Ivanovych Dubchak (Ukrainian: Андрій Іванович Дубчак, born 19 October 1976, Kalynivka, Vinnytsia Oblast) is a Ukrainian photographer, videographer, photojournalist, and war correspondent.	Andrii Ivanovych Dubchak (* 19. Oktober 1976 in Kalynivka, Vinnytsia Oblast) ist ein ukrainischer Fotograf, Videograf, Fotojournalist und Kriegskorrespondent.	-11.0
38	Morgan was named the Wildcats' starting left tackle going into his third season and started the final 11 games after missing the season opener due to injury.	Morgan wurde in die Wildcats gerufen, nachdem er aufgrund einer Verletzung den Starter verpasst hatte und die letzten 11 Spiele startete.	-25.0
39	This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2004.	Dies ist eine Liste von Songs, die im Jahr 2004 in die Top 10 der Billboard Mainstream Top 40 (oder Pop Airplay) gelangen.	-2.0
40	Roderick Yong earned the 2008 Teacher Day's Retired Teacher Award, which came with a gold medal, a certificate of honor, cash in the amount of $4,000, access to a first-class ward at the government hospital, and free medical care at home from a government nurse.	Roderick Yong erhielt 2008 den Teacher Day's Retired Teacher Award, der mit einer Goldmedaille, einem Ehrenzeichen, Bargeld in Höhe von 4.000 Dollar, Zugang zu einer erstklassigen Abteilung im staatlichen Krankenhaus und kostenlosen medizinischen Versorgung von einer staatlichen Krankenschwester zu Hause kam.	-8.0
41	Bricard began playing chess at age 12.Bricard won the 1993 French Chess Championship, and finished third in the championship of the following year, behind Marc Santo-Roman and Manuel Apicella.	Bricard begann Schach im Alter von 12 Jahren zu spielen.Bricard gewann 1993 die Französische Schachmeisterschaft, und beendete den dritten Platz in der Meisterschaft des folgenden Jahres, hinter Marc Santo-Roman und Manuel Apicella.	-7.0
42	"They hosted the ""Double Star Love Song Concert"" in the Foshan Lingnan Pearl Gymnasium on 31 December 2007 along with Tai Zhengxiao."	"Sie veranstalteten zusammen mit Tai Zhengxiao am 31. Dezember 2007 das ""Double Star Love Song Concert"" im Foshan Lingnan Pearl Gymnasium."	0.0
43	In the north, that goes through is the road from Patsho Village to Kingnyu village that connects with Thonoknyu to Noklak road at Sanglau Village.	Im Norden führt die Straße von Patsho Village nach Kingnyu Village, die mit Thonoknyu zu Noklak Road in Sanglau Village verbindet.	-1.0
44	"In response, Bennett said that ""the headline of the story was wrong"", and had been corrected; she pointed out that the release agreement ""was signed October 30, five days before the new government took office."	"Bennett antwortete darauf, dass ""der Titel der Geschichte falsch war"", und dass sie korrigiert worden sei; sie wies darauf hin, dass die Freilassungsvereinbarung ""am 30. Oktober, fünf Tage vor dem Amtseintritt der neuen Regierung unterzeichnet wurde."	-7.0
45	The studio is being overseen by former Entertainment One executives Olivier Dumont as president, Zev Foreman as head of film, and Gabriel Marano as head of television.	Das Studio wird von ehemaligen Entertainment One-Chefs Olivier Dumont als Präsident, Zev Foreman als Filmchef und Gabriel Marano als Fernsehchef überwacht.	-10.0
46	Gabrijel Rukavina is a Croatian professional footballer who plays as a forward for Prva HNL club Dinamo Zagreb, and the Croatia national under-19 football team.	Gabrijel Rukavina ist ein kroatischer Fußballer, der als Fortschritt für den Prva HNL-Club Dinamo Zagreb und die kroatische Nationalmannschaft unter 19 spielt.	-10.0
47	Media reports at the time noted the similarities between Alsop's proposals, and the proposals in Prescott's Northern Way.	Medienberichte zu der Zeit bemerkten die Ähnlichkeiten zwischen Alsops Vorschlägen und den Vorschlägen in Prescott's Northern Way.	-0.1
48	The metallurgy was much more developed in the southern part by the influence of the near Argaric culture.Caves were used as funerary places.	Die Metallurgie wurde im Süden durch den Einfluss der nahe argarischen Kultur viel weiter entwickelt, die Höhlen wurden als Friedhöfe genutzt.	-8.0
49	The Silver Nova was ordered in October 2018 from the Meyer Werft shipyard in Germany, under the name Project Evolution, the first of two ships.	Die Silver Nova wurde im Oktober 2018 von der Meyer Werft in Deutschland unter dem Namen Project Evolution, dem ersten von zwei Schiffen, bestellt.	-2.0
50	The southeastern slope of the mountain promontory features the lower areas known as Grund and Chalm, which are home to the vineyards of Schinznach spanning over 50 hectares and with a history dating back centuries.	Der südöstliche Hang des Berggebiets umfasst die unteren Bereiche Grund und Chalm, die die Weinberge von Schinznach mit über 50 Hektar und einer Geschichte von Jahrhunderten beherbergen.	-2.0
51	He served as a Member of the Jammu and Kashmir Legislative Council from 1984 to 2012, representing the Indian National Congress.Dhamen died from COVID-19 aged 87 in 2020.	Von 1984 bis 2012 war er Mitglied des Legislativen Rates Jammu und Kashmir, wo er den indischen Nationalkongress repräsentierte.Dhamen starb im Alter von 87 Jahren bei COVID-19 im Jahr 2020.	-8.0
52	The Mandapa has beautiful architectural representations of various forms of Vishnu and few scenes of Ramayana, Mahabharatha and Srimad Bhagavatham.	Die Mandapa hat schöne architektonische Darstellungen verschiedener Formen von Vishnu und wenige Szenen von Ramayana, Mahabharatha und Srimad Bhagavatham.	-11.0
53	She has moderated numerous public and company events including the Digital Summit Liechtenstein, over the past years, and in 2022 she was co-moderating the Audi Stage during the Bits & Pretzels.	In den vergangenen Jahren moderierte sie zahlreiche öffentliche und Firmenveranstaltungen, darunter den Digital Summit Liechtenstein, und im Jahr 2022 war sie Co-Moderatorin der Audi Stage während der Bits & Pretzels.	-1.0
54	In the near future, a family buys an autonomous domestic robot without knowing it is a secret unit powered by human-like artificial intelligence.	In naher Zukunft kauft eine Familie einen autonomen Heimroboter, ohne zu wissen, dass es sich um eine geheime Einheit handelt, die von menschenähnlicher künstlicher Intelligenz angetrieben wird.	-1.0
55	The title was first awarded in 2014 to Corinne Semedo Furtado, who previously won the second position at the Miss Luxembourg 2013 pageant, and then was assigned to represent the country at the Miss Grand International 2014 contest in Thailand.	Der Titel wurde 2014 zunächst an Corinne Semedo Furtado verliehen, die zuvor die zweite Position bei der Miss Luxembourg 2013 gewann und dann das Land bei der Miss Grand International 2014 in Thailand vertreten wurde.	-6.0
56	However, The Sonoma Stompers won the first half with a 23-16 record and the second half with a 24-15 record, naming them the outright champion.	Die Sonoma Stompers gewannen die erste Hälfte mit einem 23-16-Rekord und die zweite mit einem 24-15-Rekord.	-6.0
57	The men's Scottish hockey National League 5 champions were the winners of the now defunct fifth-tier league in men's hockey in Scotland.	Die 5 Meister der Scottish Hockey National League waren die Gewinner der nun verstorbenen fünften Liga im Hockey für Männer in Schottland.	-11.0
58	"He termed this the ""Maine Model"" for how to replicate the successes of major technology hubs without the same kind of educational and financial capital found in those places."	"Er nannte dies das ""Maine-Modell"" dafür, wie man die Erfolge der großen Technologie-Hubs ohne die gleiche Art von Bildungs- und Finanzkapital in diesen Orten wiederholt."	-2.0
59	In 2011, the Hyatt Carmel Highlands was included in the Travel + Leisure list of the 500 Best Hotels in the World for that year.	2011 wurde das Hyatt Carmel Highlands in die Liste der 500 besten Hotels der Welt für dieses Jahr aufgenommen.	0.0
60	Mark Rozzi, the 142nd Speaker of the Pennsylvania House of Representatives (January-February 2023), Pennsylvania State Representative for the 126th district (2013-Present)	Mark Rozzi, der 142. Vorsitzende des Pennsylvania House of Representatives (Januar-Februar 2023), Pennsylvania State Representative für den 126. Bezirk (2013-Präsent)	-15.0
61	When Monsignor Théas left the diocese, Monsignor Courrèges took over and, on February 1, 1950, set up a new commission to evaluate the 4 alleged visionaries.	Als Monsignor Théas die Diözese verließ, übernahm Monsignor Courrèges die Leitung und richtete am 1. Februar 1950 eine neue Kommission ein, um die vier angeblichen Visionäre zu beurteilen.	0.0
62	"""Applications of Deep Learning in e-Commerce,"" Krishnendu Chaudhury, GPU Technology Conference, GTC 2018, March 26–29, 2018, Silicon Valley, California."	"""Applications of Deep Learning in e-Commerce"", Krishnendu Chaudhury, GPU Technology Conference, GTC 2018, 26.–29. März 2018, Silicon Valley, Kalifornien."	0.0
63	Actors who play members of the Tate household include Robert Mandan as Jessica's husband Chester; Jennifer Salt, Diana Canova, and Jimmy Baio as their children, Eunice, Corinne and Billy; Arthur Peterson Jr. as Jessica and Mary's father, a retired U.S. Army major; and Robert Guillaume as the family butler Benson.	Zu den Schauspielern, die Mitglieder der Tate-Familie spielen, gehören Robert Mandan als Jessicas Ehemann Chester; Jennifer Salt, Diana Canova und Jimmy Baio als ihre Kinder, Eunice, Corinne und Billy; Arthur Peterson Jr. als Jessica und Marys Vater, ein pensionierter US-Armee-Mejor; und Robert Guillaume als Familie Butler Benson.	-16.0
64	The Palms of Madagascar (1995) by J. Dransfield & Henk Beentje, co-published with the Royal Botanic Gardens, Kew.	Die Palms of Madagascar (1995) von J. Dransfield & Henk Beentje, mit den Royal Botanic Gardens, Kew.	-10.0
65	In the early days of São Paulo football association, all competitions were amateur, so the winner of each tournament was also considered the amateur champion of a specific league for each season.	In den frühen Tagen des Fußballverbandes São Paulo waren alle Wettkämpfe Amateure, so dass der Gewinner jedes Turniers auch als Amateurmeister einer bestimmten Liga für jede Saison angesehen wurde.	-6.0
66	This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2013.	Dies ist eine Liste von Songs, die die Top 10 auf der Billboard Mainstream Top 40 (oder Pop Airplay) Chart im Jahr 2013 erreichten.	-2.0
67	Mononucleosis is among the best studied, and available studies found that 7-9% had persistent symptoms 12 months after infection, and 4% had serious symptoms after 2 years.	Mononukleose gehört zu den besten untersucht, und verfügbare Studien haben gezeigt, dass 7-9% dauerhafte Symptome 12 Monate nach der Infektion hatten, und 4% hatten schwere Symptome nach 2 Jahren.	-6.1
68	elranatamab is indicated for the treatment of adults with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 monoclonal antibody.Elranatamab is an investigational, off-the-shelf, humanized BCMA CD3-targeted BsAb.	Elranatamab ist für die Behandlung von Erwachsenen mit wiederholtem oder widerstandsfähigem Multipler Myelom, die mindestens vier vorangegangene Therapielinien erhalten haben, einschließlich eines Proteasome-Inhibitors, eines Immunmodulators und eines anti-CD38 monoklonalen Antikörpers.Elranatamab ist eine wissenschaftliche, off-the-shelf, humanisierte BCMA CD3-targeted BsAb.	-25.0
69	Thanks to the development of remote sensing technology (and also due to deforestation), it has been possible to document the pre-Columbian period's extensive agricultural infrastructure.	Dank der Entwicklung der Fernerkundungstechnologie (und auch aufgrund der Entwaldung) ist es möglich, die umfangreiche landwirtschaftliche Infrastruktur vor der kolumbianischen Periode zu dokumentieren.	-2.0
70	Gaucher IV was married by 1258 at the latest to Isabelle von Lezinnes (d. after 1265) from the Villehardouin family, a great-granddaughter of the chronicler Geoffrey of Villehardouin.	Gaucher IV. heiratete 1258 spätestens Isabelle von Lezinnes (nach 1265) aus der Familie Villehardouin, eine Großmutter des Chronikers Geoffrey von Villehardouin.	-11.0
71	Cherax woworae, the steel blue crayfish, is a species of crayfish native to Southwest Papua, a province of Indonesia.	Cherax woworae, der Stahlblaue Krause, ist eine Art von Krause aus Südwest-Papua, einer Provinz in Indonesien.	-13.0
72	This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2000.	Dies ist eine Liste der Songs, die im Jahr 2000 in den Top 10 der Billboard Mainstream Top 40 (oder Pop Airplay) chartten.	-5.0
73	The Mandapa has beautiful architectural representations of various forms of Vishnu and few scenes of Ramayana, Mahabharatha and Srimad Bhagavatham.	Das Mandapa hat schöne architektonische Darstellungen verschiedener Formen von Vishnu und wenige Szenen von Ramayana, Mahabharatha und Srimad Bhagavatham.	-16.0
74	Hammerstein drove the same type of BMW - of the same colour and with almost the same number plate - which was parked nearby.	Hammerstein fuhr denselben Typ von BMW - derselben Farbe und mit fast derselben Nummerierung -, der in der Nähe geparkt war.	-8.1
75	When Johnny would end up taking his routine trip down to California after this incident, Watson would follow closely behind him – ultimately causing an intense verbal argument between both men.	Als Johnny seine Routine nach diesem Ereignis nach Kalifornien abnehmen würde, würde Watson ihm eng folgen – letztendlich zu einem intensiven verbalen Argument zwischen den beiden Männern.	-18.0
76	"Marchuk's ""Shevchenkiana"" consists of 42 paintings (out of a hundred planned), which were made in tempera (1983-1984)."	"Marchuks ""Shevchenkiana"" besteht aus 42 Gemälden (von hundert geplanten), die in tempera (1983-1984) entstanden sind."	-11.0
77	On March 19, the new single 'Marilù' was released and was previewed during the broadcast 'Domenica in' hosted by Mara Venier.	"Am 19. März wurde der neue Single ""Marilù"" veröffentlicht und wurde während der Sendung ""Domenica in"" von Mara Venier vorgestellt."	-5.0
78	Further stations were from October/November 1998 as Sandy Cay for C. Rehder Schiffsmakler und Reederei in Limassol, from July 1999 as Nordica for Unisand Shipping Company in Limassol under management of N.C. Schiffahrtsbüro in Bremerhaven and chartering by Wilhelm Tietjen Befrachtungsgesellschaft in Hamburg, from October 2004 Lady Rea for Rea Maritime Corporation in Panama and finally from August 2006 as Evgeniy Vasilyev for Dream Hills Trading in Panama under management of DSL Shipping in Limassol.	Weitere Stationen waren ab Oktober/November 1998 als Sandy Cay für C. Rehder Schiffsmakler und Reederei in Limassol, ab Juli 1999 als Nordica für Unisand Shipping Company in Limassol unter der Leitung von N.C. Schiffahrtsbüro in Bremerhaven und unter der Charterung von Wilhelm Tietjen Befrachtungsgesellschaft in Hamburg, ab Oktober 2004 als Lady Rea für Rea Maritime Corporation in Panama und schließlich ab August 2006 als Evgeniy Vasilyev für Dream Hills Trading in Panama unter der Leitung von DSL Shipping in Limassol.	0.0
79	Dating back to the 17th century, the stepwell remained into use well into the 20th century, acting as one of the sources of water for the Gandhi Hospital.	Seit dem 17. Jahrhundert wurde der Fluss auch im 20. Jahrhundert genutzt, als eine der Wasserquellen für das Gandhi-Krankenhaus.	-11.0
80	This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2017.	Dies ist eine Liste von Songs, die 2017 die Top 10 der Billboard Mainstream Top 40 (oder Pop Airplay) erreichten.	-1.0
81	A turning point came when Mr. Owiredu, the Director General of Education at the time, seconded teachers from Assin Manso and Aburaman Secondary School to assist Nyankumasi Ahenkro Secondary School.	Ein Wendepunkt kam, als Herr Owiredu, der damalige Generaldirektor für Bildung, Lehrer aus Assin Manso und Aburaman Secondary School entsandte, um Nyankumasi Ahenkro Secondary School zu unterstützen.	-1.0
82	Mononucleosis is among the best studied, and available studies found that 7-9% had persistent symptoms 12 months after infection, and 4% had serious symptoms after 2 years.	Mononukleose gehört zu den besten untersuchten, und verfügbare Studien fanden heraus, dass 7-9% anhaltende Symptome 12 Monate nach der Infektion, und 4% hatten ernste Symptome nach 2 Jahren.	-4.1
83	Adams obtained his HBESc and MES degrees from Lakehead University in 2009 & 2011 respectively.He obtained his PhD in Environmental Science from McMaster University in 2015.	Adams erhielt seine HBESc und MES-Abschlüsse von der Lakehead University im Jahr 2009 und 2011 entsprechend.Er erhielt seine PhD in Umweltwissenschaften von der McMaster University im Jahr 2015.	-7.0
84	Due to a vessel change, on 3 October 2005, Fivla was relegated to the fleet relief vessel, which she still operates as today.	Aufgrund eines Schiffswechsels wurde Fivla am 3. Oktober 2005 auf das Hilfsschiff der Flotte zurückversetzt, das bis heute betrieben wird.	-3.0
85	Other common symptoms include changes in the skin texture, color, and temperature; changes in hair and nail growth; skin sensitivity to touch, also known as allodynia; and dizziness, especially when going to a standing position after sitting.	Andere häufige Symptome umfassen Veränderungen in der Haut Textur, Farbe und Temperatur; Veränderungen im Haar und Nagelwachstum; Hautempfindlichkeit zum Berühren, auch als Allodynie bekannt; und Schwindel, vor allem, wenn Sie nach dem Sitzen auf eine stehende Position gehen.	-25.0
86	The proposed reforms involved increasing the level of independent scrutiny of Home Office migration policies, and a further promise of reconciliation events with families of the scandal's victims.	Die vorgeschlagenen Reformen beinhalten die Erhöhung der unabhängigen Überprüfung der Migrationspolitik des Haushaltes und eine weitere Verheißung von Versöhnungshänden mit den Familien der Opfer des Skandals.	-16.0
87	As their relationship progresses, they form a club called the Far East Magical Napping Society Summer Thereof, alongside Shinka Nibutani, Kumin Tsuyuri, and Sanae Dekomori, who each have their own unique delusional behaviors.	Während ihre Beziehung fortfährt, bilden sie einen Verein namens Far East Magical Napping Society Summer Thereof, zusammen mit Shinka Nibutani, Kumin Tsuyuri und Sanae Dekomori, die jeweils ihre eigenen einzigartigen Wahnvorstellungen haben.	-7.0
88	Mai una signora (Italian for Never a Lady) is a studio album by Italian singer Patty Pravo, released in 1974 by RCA Italiana.	Mai una signora ist ein Studioalbum der italienischen Sängerin Patty Pravo, das 1974 von RCA Italiana veröffentlicht wurde.	0.0
89	Novodarivka (Ukrainian: Новода́рівка; Russian: Новодаровка, romanized: Novodarovka) is a village in southern Ukraine.	Novodarovka (ukrainisch Новода́рівка, russisch Новодаровка) ist ein Dorf im Süden der Ukraine.	-8.0
90	"This news circulated among the Allied Powers, who saw it as ""the brutal annihilation of a unique democratic music instrument""."	"Diese Nachricht verbreitete sich unter den Alliierten Mächten, die es als ""die brutale Vernichtung eines einzigartigen demokratischen Musikinstruments"" betrachteten."	-6.0
91	Later, he received the rights to 900 acres of land in Vlissingen, New Amsterdam, corresponding to today’s College Point and Flushing on Long Island.	Später erhielt er die Rechte auf 900 Hektar Land in Vlissingen, New Amsterdam, was dem heutigen College Point und Flushing auf Long Island entspricht.	-1.0
